exog_variables,model_order,arima_p,arima_d,arima_q,aic,bic,rmse,mae
"ppt_lag4, twbs_lag6","ARIMAX(0,0,1)",0,0,1,-49.033860360534085,-45.94350547157496,0.09390421925266333,0.0778182107931006
"twbs_lag5, ppt_lag3, twbs_lag4, ppt_lag4, ppt_lag1","ARIMAX(0,0,0)",0,0,0,-48.57859473984662,-43.94306240640793,0.0939061344733828,0.06788785988616669
"twbs_lag5, twbs_lag0, ppt_lag4","ARIMAX(0,0,1)",0,0,1,-51.36616138928357,-47.50321777808466,0.09399326291404667,0.07269885358625036
twbs_lag6,"ARIMAX(0,0,3)",0,0,3,-59.145945064510116,-54.510412731071426,0.09407216923176234,0.07118160649248612
"ppt_lag4, twbs_lag6, twbs_lag3, ppt_lag1","ARIMAX(0,0,1)",0,0,1,-46.02438554165373,-41.38885320821504,0.09419693504099175,0.07206184082098671
"twbs_lag5, twbs_lag0, twbs_lag4, ppt_lag4, twbs_lag6, ppt_lag1","ARIMAX(0,0,1)",0,0,1,-45.830069478063876,-39.649359700145624,0.09430795872012504,0.07206162571192307
"twbs_lag5, ppt_lag3","ARIMAX(0,0,0)",0,0,0,-54.01053537697033,-51.69276921025099,0.09430940440826294,0.06933929946320189
twbs_lag3,"ARIMAX(0,0,1)",0,0,1,-52.50831639547733,-49.4179615065182,0.09431010298273741,0.07639622220375443
"ppt_lag3, twbs_lag0, ppt_lag4","ARIMAX(0,0,1)",0,0,1,-50.5499126614127,-46.68696905021379,0.09442113522583595,0.06687679013159394
"twbs_lag5, ppt_lag3, ppt_lag4, ppt_lag1","ARIMAX(0,0,0)",0,0,0,-50.23366180463246,-46.370718193433554,0.09447862736536936,0.06866388810503923
"ppt_lag3, twbs_lag4","ARIMAX(0,0,1)",0,0,1,-53.09951037015988,-50.00915548120075,0.09472697009587759,0.06934985119542089
"twbs_lag5, twbs_lag0, twbs_lag4, ppt_lag4","ARIMAX(0,0,1)",0,0,1,-48.89812907611963,-44.26259674268094,0.09474383729802092,0.07305497616625599
"ppt_lag3, twbs_lag4, ppt_lag1","ARIMAX(0,0,1)",0,0,1,-51.36711140835201,-47.5041677971531,0.094794008180872,0.06941009367790696
"ppt_lag3, twbs_lag4, ppt_lag4, twbs_lag6, twbs_lag3","ARIMAX(0,0,0)",0,0,0,-49.737061280453204,-45.101528947014515,0.0948095592201351,0.07185008103373595
"twbs_lag5, ppt_lag3, twbs_lag4, ppt_lag1","ARIMAX(0,0,0)",0,0,0,-50.27107120241698,-46.40812759121807,0.09481151849592193,0.06950405587644644
"ppt_lag3, ppt_lag4, twbs_lag6, twbs_lag3","ARIMAX(0,0,0)",0,0,0,-51.732535800447664,-47.869592189248756,0.09489871902106858,0.07214950403284263
"twbs_lag0, twbs_lag4, twbs_lag6, ppt_lag1","ARIMAX(0,0,1)",0,0,1,-49.29613699455342,-44.66060466111473,0.09497593136954133,0.07603411934278238
"ppt_lag3, ppt_lag4","ARIMAX(0,0,1)",0,0,1,-53.44854917572417,-49.58560556452526,0.09514191289994532,0.07409709167554812
"twbs_lag5, twbs_lag0, twbs_lag4, twbs_lag3","ARIMAX(0,0,1)",0,0,1,-56.144718438454746,-51.509186105016056,0.09519384605556587,0.07799514962659704
"twbs_lag5, ppt_lag3, ppt_lag4, twbs_lag3, ppt_lag1","ARIMAX(0,0,0)",0,0,0,-48.9735689889297,-44.33803665549101,0.09524818188466566,0.06852191216722826
"twbs_lag0, twbs_lag6, twbs_lag3","ARIMAX(0,0,1)",0,0,1,-50.99927757579644,-47.13633396459753,0.0952814146857037,0.07742204172824657
"twbs_lag5, ppt_lag3, ppt_lag1","ARIMAX(0,0,0)",0,0,0,-52.086685545133314,-48.99633065617419,0.09531025399118336,0.06983161301374961
"twbs_lag5, ppt_lag3, ppt_lag4, twbs_lag6, twbs_lag3","ARIMAX(0,0,0)",0,0,0,-49.73923383915556,-45.10370150571687,0.09562098838528842,0.07297060584141145
"twbs_lag5, ppt_lag3, twbs_lag4, ppt_lag4, twbs_lag3, ppt_lag1","ARIMAX(0,0,0)",0,0,0,-48.33307725143132,-42.924956195752856,0.09572694047145447,0.06599475987757897
"ppt_lag3, ppt_lag4, twbs_lag6","ARIMAX(0,0,0)",0,0,0,-53.510344314520204,-50.41998942556108,0.09579165978311202,0.07282971133600007
"twbs_lag5, ppt_lag3, ppt_lag4, twbs_lag6","ARIMAX(0,0,0)",0,0,0,-51.57367911111286,-47.71073549991395,0.09593413882708206,0.07304084688794239
"twbs_lag5, ppt_lag3, ppt_lag4, twbs_lag6, twbs_lag3, ppt_lag1","ARIMAX(0,0,0)",0,0,0,-48.280752136175096,-42.87263108049663,0.09596821646005312,0.07226676217589936
"ppt_lag3, twbs_lag4, ppt_lag4, twbs_lag6, ppt_lag1","ARIMAX(0,0,0)",0,0,0,-49.85147223315945,-45.215939899720766,0.09603778965278789,0.07299924820121058
"ppt_lag3, ppt_lag4, ppt_lag1","ARIMAX(0,0,1)",0,0,1,-52.00476395116711,-47.36923161772842,0.09605253974994164,0.07620989645929026
"ppt_lag3, ppt_lag4, twbs_lag6, twbs_lag3, ppt_lag1","ARIMAX(0,0,0)",0,0,0,-50.27676313266744,-45.64123079922875,0.09608060153233573,0.07238654964812367
"ppt_lag3, twbs_lag4, twbs_lag6, twbs_lag3","ARIMAX(0,0,0)",0,0,0,-51.39784308829006,-47.53489947709115,0.09610039292873272,0.07349053248034428
"twbs_lag5, ppt_lag3, twbs_lag4, ppt_lag4, twbs_lag6, twbs_lag3","ARIMAX(0,0,0)",0,0,0,-47.78176353615794,-42.373642480479475,0.09624778079508182,0.0732978619684799
"twbs_lag0, twbs_lag4, twbs_lag6","ARIMAX(0,0,1)",0,0,1,-51.19764460029886,-47.33470098909995,0.0962693752896852,0.07678250274702307
"ppt_lag3, twbs_lag6, twbs_lag3","ARIMAX(0,0,0)",0,0,0,-53.3851011166535,-50.294746227694375,0.09629329788138326,0.0738993735314509
"ppt_lag3, twbs_lag4, twbs_lag6","ARIMAX(0,0,0)",0,0,0,-53.34999496646559,-50.25964007750646,0.09632712993212637,0.07395149698648727
"ppt_lag3, ppt_lag4, twbs_lag6, ppt_lag1","ARIMAX(0,0,0)",0,0,0,-51.608314589977056,-47.74537097877815,0.09642685269890416,0.07321699268552276
"ppt_lag3, twbs_lag6","ARIMAX(0,0,0)",0,0,0,-55.35840625268044,-53.040640085961094,0.09650569681337652,0.0739162021758081
"twbs_lag5, twbs_lag0, ppt_lag4, twbs_lag6, twbs_lag3","ARIMAX(0,0,1)",0,0,1,-48.82426444007544,-43.416143384396975,0.09652098551847291,0.0725507840743792
"twbs_lag0, twbs_lag6, twbs_lag3, ppt_lag1","ARIMAX(0,0,2)",0,0,2,-47.8257344359434,-42.41761338026494,0.09653080987599762,0.08115369011655692
"twbs_lag5, ppt_lag3, twbs_lag4, ppt_lag4, twbs_lag6","ARIMAX(0,0,0)",0,0,0,-49.62897678528476,-44.993444451846074,0.09672240843916814,0.07368130011832402
"ppt_lag3, twbs_lag0, twbs_lag4, ppt_lag1","ARIMAX(0,0,2)",0,0,2,-50.69919855982984,-45.291077504151374,0.0967543191155058,0.07682497098815519
"twbs_lag5, twbs_lag0, twbs_lag4, twbs_lag6, ppt_lag1","ARIMAX(0,0,1)",0,0,1,-49.0322436419258,-43.62412258624734,0.09688591306880297,0.07515297269812413
"twbs_lag5, twbs_lag0, twbs_lag4, ppt_lag4, twbs_lag6","ARIMAX(0,0,1)",0,0,1,-47.54859954502706,-42.140478489348595,0.09695194217713855,0.07466261329686114
"twbs_lag5, twbs_lag0, twbs_lag3, ppt_lag1","ARIMAX(0,0,1)",0,0,1,-52.66448069746869,-48.02894836403,0.09699111655432313,0.07661824277351363
"ppt_lag3, twbs_lag4, ppt_lag4, twbs_lag6, twbs_lag3, ppt_lag1","ARIMAX(0,0,0)",0,0,0,-48.76460942305606,-43.356488367377594,0.09700923579422298,0.07021837779273024
"twbs_lag5, ppt_lag3, twbs_lag6, twbs_lag3","ARIMAX(0,0,0)",0,0,0,-51.4131806956026,-47.55023708440369,0.09703661633426854,0.07474194798653136
"ppt_lag3, twbs_lag0, twbs_lag4, ppt_lag4, twbs_lag6, twbs_lag3, ppt_lag1","ARIMAX(0,0,2)",0,0,2,-50.62461535733772,-42.8987281349399,0.09709401857315739,0.07207347861294616
"twbs_lag5, twbs_lag0, twbs_lag4, twbs_lag3, ppt_lag1","ARIMAX(0,0,1)",0,0,1,-50.30331622674089,-44.895195171062426,0.09711993252948059,0.07687716555520183
"twbs_lag5, ppt_lag3, twbs_lag6","ARIMAX(0,0,0)",0,0,0,-53.42073538542411,-50.33038049646498,0.09712467085472508,0.07482403328172918
"twbs_lag5, ppt_lag3, twbs_lag4, twbs_lag3, ppt_lag1","ARIMAX(0,0,0)",0,0,0,-49.489819310826284,-44.8542869773876,0.09714533272865358,0.06879252441776526
"twbs_lag0, twbs_lag4, twbs_lag6, twbs_lag3, ppt_lag1","ARIMAX(0,0,2)",0,0,2,-45.44821260286536,-39.267502824947115,0.09722094714984564,0.07349747093870276
"ppt_lag3, twbs_lag0, twbs_lag4, ppt_lag4, twbs_lag6","ARIMAX(0,0,0)",0,0,0,-49.28609699909886,-44.65056466566017,0.0973247301799983,0.07354552535690433
"ppt_lag3, twbs_lag6, ppt_lag1","ARIMAX(0,0,0)",0,0,0,-53.48349782664508,-50.39314293768595,0.09732618308497132,0.074205079039125
"ppt_lag3, twbs_lag4, twbs_lag6, ppt_lag1","ARIMAX(0,0,0)",0,0,0,-51.568862861223295,-47.70591925002439,0.09735415017983783,0.07454210737275802
"twbs_lag5, twbs_lag0, ppt_lag4, ppt_lag1","ARIMAX(0,0,1)",0,0,1,-50.22607171246932,-45.59053937903063,0.09738143361373193,0.07731308723543473
"twbs_lag5, ppt_lag3, twbs_lag0, twbs_lag4, ppt_lag4, twbs_lag6","ARIMAX(0,0,0)",0,0,0,-46.989596368126925,-41.58147531244846,0.09739502943881982,0.07334908775065027
"twbs_lag5, ppt_lag3, twbs_lag6, ppt_lag1","ARIMAX(0,0,0)",0,0,0,-51.53666790158086,-47.673724290381955,0.09758275747514286,0.07459990319519622
"ppt_lag3, twbs_lag6, twbs_lag3, ppt_lag1","ARIMAX(0,0,0)",0,0,0,-51.77379208736369,-47.91084847616478,0.09758935626071327,0.07447818925496331
"twbs_lag5, ppt_lag3, twbs_lag4, twbs_lag6, twbs_lag3","ARIMAX(0,0,0)",0,0,0,-49.48691943333132,-44.851387099892634,0.09760319669085424,0.07489985458941588
"twbs_lag5, ppt_lag3, twbs_lag0, ppt_lag4, twbs_lag6, twbs_lag3","ARIMAX(0,0,0)",0,0,0,-48.3866905245965,-42.97856946891804,0.09767429439302748,0.07357179487233992
"twbs_lag5, ppt_lag3, twbs_lag6, twbs_lag3, ppt_lag1","ARIMAX(0,0,0)",0,0,0,-49.76209136008242,-45.12655902664373,0.09774111965141029,0.07466012118535924
"twbs_lag5, ppt_lag3, ppt_lag4, twbs_lag6, ppt_lag1","ARIMAX(0,0,0)",0,0,0,-49.840101081003745,-45.20456874756506,0.09776976602308213,0.07475932493615028
"twbs_lag5, ppt_lag3, twbs_lag0, ppt_lag4, twbs_lag3","ARIMAX(0,0,0)",0,0,0,-50.259862575393726,-45.624330241955036,0.09778800852497596,0.07380184567787668
