exog_variables,model_order,arima_p,arima_d,arima_q,aic,bic,rmse,mae
"tmean_lag120, tmean_lag135, tmean_lag105, tmean_lag150, tmean_lag90","ARIMAX(2,1,3)",2,1,3,-7701.665287021867,-7654.767906133359,1.158358568055214,1.0305263433105392
"tmean_lag150, tmean_lag165, tmean_lag90, tmean_lag0","ARIMAX(2,1,3)",2,1,3,-7889.04403829982,-7846.410055673904,1.1597011461647837,1.0248975723014007
"tmean_lag120, tmean_lag105, tmean_lag0, tmean_lag180","ARIMAX(2,1,3)",2,1,3,-7745.869291490635,-7703.235308864719,1.1600186984441094,1.0326038372945054
"tmean_lag135, tmean_lag105, tmean_lag150, tmean_lag90","ARIMAX(2,1,3)",2,1,3,-7736.858251317977,-7694.224268692061,1.160294703867838,1.0319914449969119
"tmean_lag105, tmean_lag90, tmean_lag180","ARIMAX(2,1,3)",2,1,3,-7669.973308031996,-7627.339325406079,1.1619250884294063,1.02693670882187
"tmean_lag120, tmean_lag135, tmean_lag150, tmean_lag90","ARIMAX(3,1,0)",3,1,0,-8219.637494450573,-8181.266910087249,1.1673965960795964,1.0290183130115806
"tmean_lag120, tmean_lag135, tmean_lag90","ARIMAX(3,1,0)",3,1,0,-8351.741921409812,-8317.634735309079,1.170304761119117,1.0314545761260698
"tmean_lag135, tmean_lag150, tmean_lag165, tmean_lag0, tmean_lag180","ARIMAX(2,1,3)",2,1,3,-7819.752642506944,-7772.855261618436,1.1761147629846311,1.0397829801877465
"tmean_lag120, tmean_lag150, tmean_lag165, tmean_lag90, tmean_lag0","ARIMAX(2,1,3)",2,1,3,-7809.839450541953,-7762.942069653445,1.1786296409794357,1.0446153063286514
"tmean_lag165, tmean_lag90, tmean_lag0","ARIMAX(2,1,3)",2,1,3,-7887.785593315364,-7849.41500895204,1.1786795432538684,1.0407468418684522
"tmean_lag120, tmean_lag135, tmean_lag150, tmean_lag165, tmean_lag90, tmean_lag0","ARIMAX(2,1,3)",2,1,3,-7807.414591160752,-7756.253812009652,1.17992939499628,1.0457762765811722
"tmean_lag105, tmean_lag90, tmean_lag0","ARIMAX(2,1,3)",2,1,3,-7691.162609398326,-7652.792025035002,1.1815242042351983,1.0507817589782489
"tmean_lag165, tmean_lag0, tmean_lag180","ARIMAX(2,1,3)",2,1,3,-7841.835452038671,-7803.464867675347,1.1868032089986984,1.0485675212599106
"tmean_lag120, tmean_lag135, tmean_lag105, tmean_lag90, tmean_lag0","ARIMAX(2,1,3)",2,1,3,-7658.465014545989,-7611.567633657482,1.1934566517403524,1.0613820173742998
"tmean_lag135, tmean_lag105, tmean_lag90, tmean_lag0","ARIMAX(2,1,3)",2,1,3,-7680.085071400121,-7637.451088774204,1.195886922728851,1.063426614723033
