time,twbs,tmean,hurs,ppt,tdmean,Spline_PR,Spline_WW,tmean differenced,twbs differenced,Spline_WW differenced,Spline_WW differenced twice,Spline_PR differenced,Spline_PR differenced twice
2021-06-01,24.444279207421744,28.23393757684713,73.30675296781531,204.05017827611672,22.99750668334561,0.0303621049999999,13.131984915333334,3.9877676212099615,3.285903155326075,-0.107960183698923,0.0486361562688202,-0.0251171982258065,0.0025383158817204
2021-07-01,24.80338736376268,28.52277261547837,73.88642808585425,184.02083895012527,23.40636919568326,0.087085823548387,13.78688501483871,0.28883503863124105,0.3591081563409375,0.654900099505376,0.762860283204299,0.056723718548387,0.0818409167741936
2021-08-01,25.160691426685567,29.41142643824289,70.74642328128701,101.91235939354718,23.53956997358569,0.1846372583870967,14.193716662258064,0.8886538227645211,0.3573040629228856,0.406831647419354,-0.2480684520860219,0.0975514348387096,0.0408277162903226
2021-09-01,22.01274901539487,26.222893863971244,69.56289969678619,177.21594210153472,20.214412736739337,0.131321325,13.926075637333334,-3.1885325742716475,-3.147942411290696,-0.2676410249247301,-0.6744726723440841,-0.0533159333870967,-0.1508673682258063
2021-10-01,19.37261240696319,23.664630479147352,67.67124934730408,140.06655400226356,17.330120895463928,0.0729159177419354,13.585991755483873,-2.558263384823892,-2.640136608431682,-0.3400838818494609,-0.0724428569247308,-0.0584054072580645,-0.0050894738709678
2021-11-01,13.110071572067731,16.280444103683926,72.5944977354687,67.48916448880918,11.344291000403013,0.0458770366666666,13.295553020333331,-7.384186375463425,-6.262540834895457,-0.2904387351505413,0.0496451466989196,-0.0270388810752688,0.0313665261827957
2021-12-01,16.42942368249417,18.971318226279383,79.08164278537924,56.80560856535801,15.260546329046242,0.1315833841935483,13.95297891935484,2.6908741225954564,3.31935211042644,0.6574258990215078,0.9478646341720492,0.0857063475268817,0.1127452286021505
2022-01-01,7.438323441492932,11.063465966278969,64.73344352251596,88.0623047780515,4.669510567929274,0.2950978532258064,14.223641458387096,-7.907852260000414,-8.99110024100124,0.2706625390322568,-0.386763359989251,0.1635144690322581,0.0778081215053764
2022-02-01,7.583371700797237,10.69985969439457,69.66165668970949,55.56624288132201,5.376954004101052,0.1115557564285714,13.2478062975,-0.3636062718843984,0.1450482593043052,-0.9758351608870957,-1.2464976999193524,-0.183542096797235,-0.347056565829493
2022-03-01,11.672586059193232,16.03711648523381,61.96712868275873,77.37325614008742,8.745155792608527,0.0257981306451612,12.890774642580643,5.337256790839239,4.089214358395996,-0.357031654919357,0.6188035059677386,-0.0857576257834102,0.0977844710138247
2022-04-01,17.756434377953056,22.19933416419608,65.71378799233612,55.72430023331353,15.473278897008468,0.0403604844,13.2310500884,6.162217678962271,6.083848318759824,0.3402754458193566,0.6973071007387137,0.0145623537548388,0.100319979538249
2022-05-01,22.84669798496795,27.11015551196576,69.62766906926178,91.3476056473811,21.075671283190545,,,4.91082134776968,5.090263607014894,,,,
2022-06-01,24.38903238652212,29.98981087514531,62.48635024279224,13.159190468573236,22.03880961411769,,,2.8796553631795483,1.5423344015541716,,,,
2022-07-01,25.11487615608401,30.6323556230107,63.35226040301828,65.24195997233552,22.87390101410097,,,0.6425447478653901,0.7258437695618873,,,,
2022-08-01,24.97681636530013,29.27770322599012,70.36271279872527,207.69244399395075,23.320926737767447,,,-1.3546523970205797,-0.1380597907838776,,,,
2022-09-01,22.08266022949426,27.08803701686934,64.63520593113972,61.57750665374225,19.849683873177245,,,-2.18966620912078,-2.894156135805872,,,,
2022-10-01,16.060743370311968,21.32516999298534,58.96745865504955,67.53153159287376,12.975748453608592,,,-5.762867023883999,-6.021916859182291,,,,
2022-11-01,13.359394126144498,16.02036588120462,76.92908096079327,176.38358064304882,11.974028207271209,,,-5.304804111780722,-2.7013492441674707,,,,
2022-12-01,10.714520825744495,13.886166891938757,71.21742507318876,90.01583495977741,8.75810538618018,,,-2.1341989892658617,-2.6448733004000022,,,,
2023-01-01,11.78715911376004,15.102230612546949,70.65050489995319,192.75304789580915,9.803568793855412,,,1.216063720608192,1.0726382880155452,,,,
2023-02-01,12.66123183432696,15.838170415080882,72.3047327384721,33.390926715205936,10.857661100829365,,,0.7359398025339328,0.8740727205669199,,,,
2023-03-01,15.549314519807895,19.25666279470098,69.69913515360267,41.97375757866434,13.580875089828252,,,3.4184923796200977,2.888082685480935,,,,
2023-04-01,16.869182122356605,20.346313698288306,72.11003165452381,147.4455491826579,15.152312940714888,,,1.0896509035873265,1.31986760254871,,,,
2023-05-01,21.297208887274813,24.966141903331994,72.80444151088693,175.14499923655438,19.742094858617754,,,4.619828205043689,4.428026764918208,,,,
2023-06-01,24.76819045877195,29.35768540684033,68.53990281175159,81.25944315251432,22.961238142263408,,,4.391543503508334,3.4709815714971377,,,,
2023-07-01,25.65865319650559,30.91205344293463,65.13226152398498,63.78146188080507,23.59331696785069,,,1.5543680360943029,0.8904627377336389,,,,
2023-08-01,25.335705378579448,32.317290003455035,55.792666463074326,5.284903785296418,22.350471863460868,,,1.4052365605204038,-0.322947817926142,,,,
2023-09-01,23.810431933515368,29.563015468878906,61.30024195076584,81.87896902485102,21.32294463558774,,,-2.7542745345761297,-1.52527344506408,,,,
2023-10-01,18.584417575357428,22.61600460306918,69.02301235951619,120.88109645016586,16.641659978271218,,,-6.947010865809727,-5.22601435815794,,,,
2023-11-01,12.70933220833648,15.90765096172923,72.14906824506593,70.31178862719507,10.8910692019237,,,-6.708353641339949,-5.875085367020947,,,,
2023-12-01,10.52832500966908,14.088674412335196,67.73899089894869,105.81076725292964,8.209217683157272,,,-1.8189765493940335,-2.1810071986674,,,,
