exog_variables,model_order,arima_p,arima_d,arima_q,aic,bic,rmse,mae
"twbs_lag4, ppt_lag2, twbs_lag3","ARIMAX(0,0,0)",0,0,0,16.37576813279003,20.238711743988937,0.4864429820337065,0.4673861048897576
"twbs_lag4, twbs_lag3, twbs_lag2","ARIMAX(1,0,0)",1,0,0,17.122384997828675,21.75791733126736,0.4867820615248442,0.4851387268697356
"ppt_lag2, twbs_lag5, twbs_lag2","ARIMAX(0,0,0)",0,0,0,16.358326209534233,20.22126982073314,0.48761279154790405,0.4344346709243059
ppt_lag4,"ARIMAX(3,0,0)",3,0,0,13.896791426944565,18.532323760383253,0.4881534264572429,0.39393760532065025
"ppt_lag3, twbs_lag3, ppt_lag4, twbs_lag1","ARIMAX(0,0,0)",0,0,0,15.844556835871872,20.48008916931056,0.4884119984951177,0.4587593665912819
"ppt_lag2, twbs_lag3, ppt_lag4","ARIMAX(0,0,0)",0,0,0,17.609421832728522,21.472365443927426,0.48918333056503677,0.4222473802218265
"twbs_lag4, ppt_lag2, twbs_lag2, ppt_lag4","ARIMAX(0,0,0)",0,0,0,18.26789840505588,22.903430738494567,0.49092810092774425,0.45603998788659394
"ppt_lag3, ppt_lag2, ppt_lag4, twbs_lag1","ARIMAX(0,0,0)",0,0,0,8.770705198017914,13.4062375314566,0.4910894843467708,0.4270491394904421
"ppt_lag3, twbs_lag4, ppt_lag2, twbs_lag2, twbs_lag1","ARIMAX(2,0,1)",2,0,1,28.305752154047607,35.25905065420564,0.49373838221224886,0.4690373826458156
"twbs_lag4, twbs_lag3, twbs_lag2, ppt_lag4","ARIMAX(0,0,0)",0,0,0,20.424011510920593,25.05954384435928,0.49423413708706726,0.4863889269827637
"ppt_lag3, twbs_lag5, ppt_lag4, twbs_lag1","ARIMAX(0,0,0)",0,0,0,15.795646606371973,20.431178939810657,0.501417017845568,0.47820640253721347
"ppt_lag2, twbs_lag2, ppt_lag4","ARIMAX(0,0,0)",0,0,0,17.54488662472883,21.407830235927733,0.5026980349069399,0.4486420346074542
ppt_lag2,"ARIMAX(0,0,0)",0,0,0,13.806460226566825,16.12422639328617,0.5081797212847055,0.44941609818394834
"ppt_lag3, ppt_lag2, twbs_lag3, twbs_lag5, twbs_lag2","ARIMAX(3,0,1)",3,0,1,40.240273774567804,47.96616099696561,0.5098193192151502,0.37938562144450794
"ppt_lag3, twbs_lag4, ppt_lag2, ppt_lag4, twbs_lag1","ARIMAX(0,0,0)",0,0,0,9.755928988456473,15.16405004413494,0.5117525437587304,0.445911182755085
"ppt_lag3, twbs_lag2, ppt_lag4, twbs_lag1","ARIMAX(0,0,0)",0,0,0,15.605545312074122,20.24107764551281,0.5123571835771231,0.4823410847259426
