exog_variables,model_order,arima_p,arima_d,arima_q,aic,bic,rmse,mae
"twbs_lag135, twbs_lag105, twbs_lag90, twbs_lag165, twbs_lag0, twbs_lag180","ARIMAX(3,1,3)",3,1,3,-7880.257911440189,-7824.833734026498,1.0647851804418376,0.9517120244438492
"twbs_lag120, twbs_lag105, twbs_lag150, twbs_lag165, twbs_lag0","ARIMAX(3,1,3)",3,1,3,-7987.2999967490705,-7936.139217597971,1.0657475474377467,0.9529352360533072
"twbs_lag120, twbs_lag135, twbs_lag105, twbs_lag150, twbs_lag90, twbs_lag165, twbs_lag0, twbs_lag180","ARIMAX(3,1,3)",3,1,3,-7877.32801294048,-7813.377039001606,1.0672101721661504,0.9536316905167928
"twbs_lag120, twbs_lag135, twbs_lag105, twbs_lag150, twbs_lag165, twbs_lag180","ARIMAX(2,1,3)",2,1,3,-7884.0621709054185,-7832.901391754319,1.071650195313877,0.955642348960449
"twbs_lag120, twbs_lag105, twbs_lag90, twbs_lag165, twbs_lag180","ARIMAX(3,1,3)",3,1,3,-7960.904790807647,-7909.744011656548,1.073637136884447,0.959503277684399
"twbs_lag105, twbs_lag180","ARIMAX(3,1,3)",3,1,3,-8174.237758712028,-8135.867174348704,1.0743964594415127,0.9599215797418097
"twbs_lag135, twbs_lag105, twbs_lag150, twbs_lag90, twbs_lag165, twbs_lag0, twbs_lag180","ARIMAX(2,1,3)",2,1,3,-7868.493445627773,-7813.0692682140825,1.0755010821360262,0.9604586588105295
"twbs_lag0, twbs_lag180","ARIMAX(3,1,1)",3,1,1,-8430.186442561353,-8396.07925646062,1.07919281879445,0.9430859210286524
"twbs_lag120, twbs_lag105, twbs_lag150, twbs_lag90, twbs_lag165, twbs_lag180","ARIMAX(3,1,3)",3,1,3,-7918.286749245895,-7862.862571832205,1.0817074190993978,0.9656164152715084
twbs_lag120,"ARIMAX(2,1,0)",2,1,0,-8669.247513187063,-8647.930521874105,1.0832707442778042,0.9451650894574025
"twbs_lag150, twbs_lag180","ARIMAX(3,1,1)",3,1,1,-8547.85210358308,-8518.008315744939,1.0881567426072516,0.9533592100987941
"twbs_lag135, twbs_lag105, twbs_lag165, twbs_lag180","ARIMAX(2,1,3)",2,1,3,-7914.848262849191,-7872.214280223275,1.1040316866963862,0.9841667608243723
"twbs_lag105, twbs_lag165, twbs_lag180","ARIMAX(3,1,3)",3,1,3,-7974.2689413796,-7931.634958753683,1.1125492062457984,0.9914543391706152
"twbs_lag150, twbs_lag90, twbs_lag0","ARIMAX(3,1,1)",3,1,1,-8313.242127126332,-8274.871542763007,1.113406985134793,0.9802361143414726
"twbs_lag105, twbs_lag165, twbs_lag0, twbs_lag180","ARIMAX(2,1,3)",2,1,3,-7958.279304852236,-7915.64532222632,1.1143453242913606,0.9933859542298183
"twbs_lag135, twbs_lag105, twbs_lag165, twbs_lag0, twbs_lag180","ARIMAX(2,1,3)",2,1,3,-7908.160022663449,-7861.262641774942,1.1159450654861056,0.9950435504692479
"twbs_lag120, twbs_lag105, twbs_lag165, twbs_lag180","ARIMAX(3,1,3)",3,1,3,-7975.102134281072,-7928.204753392564,1.1188603342378782,0.9978071586173205
"twbs_lag150, twbs_lag0, twbs_lag180","ARIMAX(3,1,1)",3,1,1,-8375.854477175897,-8337.483892812572,1.1200506574745486,0.9838116406063085
"twbs_lag120, twbs_lag105, twbs_lag165, twbs_lag0, twbs_lag180","ARIMAX(3,1,3)",3,1,3,-7934.481432274433,-7883.320653123334,1.125348400109123,1.004051728338833
"twbs_lag135, twbs_lag105, twbs_lag150, twbs_lag165, twbs_lag0, twbs_lag180","ARIMAX(3,1,3)",3,1,3,-7890.048523541427,-7834.624346127736,1.1267192310984973,1.0040614001571213
"twbs_lag105, twbs_lag150, twbs_lag180","ARIMAX(3,1,3)",3,1,3,-8090.2044727276,-8047.570490101683,1.1286113257301598,1.006251981385173
"twbs_lag105, twbs_lag150, twbs_lag165, twbs_lag180","ARIMAX(3,1,3)",3,1,3,-7944.9075610536875,-7898.01018016518,1.1336633185305915,1.0093753947757627
"twbs_lag120, twbs_lag105, twbs_lag150, twbs_lag165, twbs_lag180","ARIMAX(3,1,3)",3,1,3,-7945.849546475435,-7894.6887673243355,1.1356921492403362,1.0118204594698426
"twbs_lag120, twbs_lag135","ARIMAX(3,1,1)",3,1,1,-8350.578279328369,-8316.471093227636,1.138194499448601,1.0041586248694945
"twbs_lag105, twbs_lag150, twbs_lag165, twbs_lag0, twbs_lag180","ARIMAX(3,1,3)",3,1,3,-7928.344386295931,-7877.1836071448315,1.1398772746329213,1.015185293153128
"twbs_lag120, twbs_lag105, twbs_lag150, twbs_lag165, twbs_lag0, twbs_lag180","ARIMAX(3,1,3)",3,1,3,-7911.426590502218,-7856.002413088527,1.1419937123250703,1.0179267163029406
"twbs_lag135, twbs_lag150, twbs_lag90","ARIMAX(3,1,1)",3,1,1,-8319.341323868875,-8280.97073950555,1.1451587965563632,1.0091876570334706
"twbs_lag135, twbs_lag180","ARIMAX(3,1,1)",3,1,1,-8490.568616924069,-8456.461430823336,1.157824501644673,1.0182765454932028
"twbs_lag135, twbs_lag150","ARIMAX(2,1,0)",2,1,0,-8768.731173564687,-8747.414182251729,1.1608513417445858,1.0267162776072287
"twbs_lag120, twbs_lag150, twbs_lag90, twbs_lag0","ARIMAX(3,1,1)",3,1,1,-8341.606317888878,-8298.972335262963,1.1659476591948994,1.0247099641852198
"twbs_lag120, twbs_lag90","ARIMAX(3,1,1)",3,1,1,-8510.272289240205,-8476.165103139472,1.178142044082055,1.0372812225654253
twbs_lag90,"ARIMAX(2,1,0)",2,1,0,-8725.7976627522,-8704.480671439242,1.1813405015585974,1.0379156707082051
"twbs_lag135, twbs_lag0","ARIMAX(2,1,0)",2,1,0,-8524.874765808217,-8503.557774495259,1.1900583260885573,1.0544381124686228
"twbs_lag135, twbs_lag150, twbs_lag180","ARIMAX(3,1,1)",3,1,1,-8367.630904300022,-8333.523718199289,1.1962260384383279,1.0559528015375508
"twbs_lag135, twbs_lag0, twbs_lag180","ARIMAX(3,1,1)",3,1,1,-8493.862764854854,-8459.75557875412,1.2050320236713186,1.0648454164716197
"twbs_lag135, twbs_lag150, twbs_lag0, twbs_lag180","ARIMAX(3,1,1)",3,1,1,-8360.16624780354,-8321.795663440214,1.2237628367580442,1.082455957673999
"twbs_lag120, twbs_lag150, twbs_lag180","ARIMAX(3,1,1)",3,1,1,-8293.02856303141,-8258.921376930677,1.2260214686565623,1.0818080216709762
twbs_lag180,"ARIMAX(2,1,0)",2,1,0,-8646.179904859695,-8629.126311809328,1.2362239077998416,1.091179539948914
"twbs_lag120, twbs_lag90, twbs_lag0","ARIMAX(3,1,1)",3,1,1,-8485.910225015195,-8451.803038914462,1.2394921878032494,1.0965207501123502
"twbs_lag120, twbs_lag150, twbs_lag90","ARIMAX(3,1,1)",3,1,1,-8259.294488480686,-8220.92390411736,1.24401439784058,1.0985270093299053
"twbs_lag135, twbs_lag150, twbs_lag0","ARIMAX(2,1,0)",2,1,0,-8393.833212998612,-8368.252823423063,1.2450600670154475,1.1034187008631808
"twbs_lag90, twbs_lag0","ARIMAX(2,1,0)",2,1,0,-8672.931294263024,-8647.350904687475,1.247095373565263,1.0990275109468008
"twbs_lag150, twbs_lag90, twbs_lag165","ARIMAX(3,1,0)",3,1,0,-8292.675074899189,-8258.567888798456,1.2624349330606024,1.1130563390832715
"twbs_lag120, twbs_lag165","ARIMAX(3,1,0)",3,1,0,-8330.616331500169,-8305.03594192462,1.2641051265671124,1.1175490183210228
"twbs_lag90, twbs_lag165","ARIMAX(3,1,0)",3,1,0,-8334.456404917051,-8304.61261707891,1.265590836976998,1.1156515887855039
"twbs_lag120, twbs_lag135, twbs_lag90","ARIMAX(3,1,0)",3,1,0,-8275.8342839516,-8245.99049611346,1.266260823371063,1.1196565594515584
"twbs_lag120, twbs_lag165, twbs_lag0","ARIMAX(3,1,0)",3,1,0,-8254.299860204941,-8220.192674104208,1.2665184182399443,1.119109552689857
"twbs_lag120, twbs_lag150, twbs_lag0, twbs_lag180","ARIMAX(3,1,1)",3,1,1,-8231.235062275482,-8188.601079649566,1.2752963529074433,1.1278530734490528
"twbs_lag120, twbs_lag135, twbs_lag0, twbs_lag180","ARIMAX(3,1,0)",3,1,0,-8167.117882566819,-8128.747298203495,1.2868525015207575,1.1371399604986692
"twbs_lag135, twbs_lag150, twbs_lag90, twbs_lag180","ARIMAX(3,1,0)",3,1,0,-8189.5288680895665,-8151.158283726242,1.298140241999803,1.1447959465547808
"twbs_lag120, twbs_lag135, twbs_lag90, twbs_lag0","ARIMAX(3,1,0)",3,1,0,-8254.548492666812,-8220.44130656608,1.306992487798417,1.157847593181474
"twbs_lag120, twbs_lag150, twbs_lag165, twbs_lag0","ARIMAX(3,1,0)",3,1,0,-8193.118266671408,-8159.011080570675,1.3085906853489102,1.1597257416136615
"twbs_lag120, twbs_lag0","ARIMAX(2,1,0)",2,1,0,-8561.501311408234,-8540.184320095275,1.3168528006236646,1.1656800417571496
"twbs_lag135, twbs_lag90, twbs_lag0, twbs_lag180","ARIMAX(3,1,0)",3,1,0,-8196.473801344473,-8158.103216981149,1.3169553263231604,1.1628831964089656
"twbs_lag90, twbs_lag0, twbs_lag180","ARIMAX(3,1,1)",3,1,1,-8378.290463880954,-8344.183277780221,1.325274127100073,1.1719561902837783
"twbs_lag135, twbs_lag150, twbs_lag90, twbs_lag0, twbs_lag180","ARIMAX(3,1,0)",3,1,0,-8130.5174087401165,-8087.8834261142,1.3289400395530349,1.1738307547935611
"twbs_lag120, twbs_lag135, twbs_lag150, twbs_lag165","ARIMAX(3,1,0)",3,1,0,-8189.510169158126,-8151.1395847948015,1.34316932574932,1.186797989622385
"twbs_lag120, twbs_lag150, twbs_lag165","ARIMAX(3,1,1)",3,1,1,-8288.394679246501,-8250.024094883176,1.3441366146218843,1.1881284671692078
"twbs_lag120, twbs_lag135, twbs_lag150, twbs_lag180","ARIMAX(3,1,1)",3,1,1,-8190.355106203493,-8147.721123577577,1.354713831597387,1.1973990712469278
"twbs_lag120, twbs_lag135, twbs_lag150, twbs_lag90","ARIMAX(3,1,1)",3,1,1,-8189.144736522358,-8146.510753896441,1.3746488524804739,1.2155682279007995
"twbs_lag150, twbs_lag165, twbs_lag0, twbs_lag180","ARIMAX(3,1,0)",3,1,0,-8223.225446278817,-8184.854861915493,1.378165671651752,1.2167711271926922
"twbs_lag150, twbs_lag90, twbs_lag0, twbs_lag180","ARIMAX(3,1,1)",3,1,1,-8237.246717627537,-8198.876133264212,1.3783968426507827,1.2198928084640939
"twbs_lag120, twbs_lag150","ARIMAX(2,1,0)",2,1,0,-8484.166144804176,-8462.849153491217,1.3889414082002376,1.2276599383950073
"twbs_lag150, twbs_lag165, twbs_lag180","ARIMAX(3,1,0)",3,1,0,-8213.103766642678,-8183.259978804537,1.4062878492151796,1.2431878009009225
"twbs_lag120, twbs_lag90, twbs_lag180","ARIMAX(3,1,1)",3,1,1,-8391.895362699946,-8357.788176599213,1.4121734314088272,1.2478616517412793
"twbs_lag120, twbs_lag135, twbs_lag165, twbs_lag0","ARIMAX(3,1,0)",3,1,0,-8162.789607184416,-8128.682421083683,1.425251251693094,1.2621130891188401
"twbs_lag135, twbs_lag150, twbs_lag90, twbs_lag165, twbs_lag0","ARIMAX(3,1,0)",3,1,0,-8137.115613303195,-8098.74502893987,1.4314249647843365,1.2675837605435554
"twbs_lag120, twbs_lag135, twbs_lag90, twbs_lag180","ARIMAX(3,1,0)",3,1,0,-8174.853298288936,-8136.482713925611,1.4368090123146369,1.268379307939198
"twbs_lag135, twbs_lag90, twbs_lag165, twbs_lag0","ARIMAX(3,1,0)",3,1,0,-8164.261921224997,-8130.154735124264,1.4393165275113602,1.2744524975773737
"twbs_lag120, twbs_lag150, twbs_lag90, twbs_lag165","ARIMAX(3,1,0)",3,1,0,-8157.037507966242,-8122.930321865509,1.447860218318599,1.2798217842275361
"twbs_lag120, twbs_lag90, twbs_lag165","ARIMAX(3,1,0)",3,1,0,-8219.686905319022,-8189.843117480881,1.4480525358579537,1.2799503633520037
"twbs_lag135, twbs_lag165, twbs_lag180","ARIMAX(3,1,0)",3,1,0,-8187.608661669634,-8153.501475568901,1.4581814453760984,1.2865296840265072
"twbs_lag120, twbs_lag150, twbs_lag90, twbs_lag180","ARIMAX(3,1,1)",3,1,1,-8279.45486402535,-8241.084279662025,1.4603300946466855,1.2904338363702843
"twbs_lag135, twbs_lag150, twbs_lag165, twbs_lag0, twbs_lag180","ARIMAX(3,1,0)",3,1,0,-8104.695120366159,-8062.061137740243,1.4633688245024712,1.2916295544640772
"twbs_lag150, twbs_lag90, twbs_lag165, twbs_lag0","ARIMAX(3,1,1)",3,1,1,-8226.380525699513,-8183.7465430735965,1.4755871382450152,1.3056504061906047
"twbs_lag120, twbs_lag135, twbs_lag150, twbs_lag90, twbs_lag180","ARIMAX(3,1,0)",3,1,0,-8101.502822996753,-8063.132238633429,1.4768575921041966,1.3051660304025028
"twbs_lag150, twbs_lag90","ARIMAX(2,1,0)",2,1,0,-8560.448708193351,-8539.131716880393,1.482650557862945,1.3094043323684144
"twbs_lag135, twbs_lag90, twbs_lag165, twbs_lag180","ARIMAX(3,1,0)",3,1,0,-8167.351086688962,-8128.980502325638,1.4857712578233782,1.3059770512318711
"twbs_lag120, twbs_lag165, twbs_lag180","ARIMAX(3,1,0)",3,1,0,-8187.793685666393,-8153.68649956566,1.4879330354849114,1.313164609892861
"twbs_lag120, twbs_lag135, twbs_lag165","ARIMAX(3,1,1)",3,1,1,-8203.309755613864,-8164.939171250539,1.4899527041262663,1.315626982221288
"twbs_lag120, twbs_lag150, twbs_lag90, twbs_lag165, twbs_lag0","ARIMAX(3,1,0)",3,1,0,-8109.3359320004365,-8070.965347637112,1.4905753212688753,1.3187575730586378
"twbs_lag120, twbs_lag150, twbs_lag0","ARIMAX(2,1,0)",2,1,0,-8401.327871425789,-8375.74748185024,1.4927233168884708,1.31916966521337
"twbs_lag135, twbs_lag150, twbs_lag165, twbs_lag180","ARIMAX(3,1,0)",3,1,0,-8146.922245231582,-8112.815059130849,1.4931599679805752,1.3193657265514984
"twbs_lag135, twbs_lag90, twbs_lag165","ARIMAX(3,1,1)",3,1,1,-8238.273904309488,-8204.166718208755,1.497939511005416,1.3230866775725427
"twbs_lag120, twbs_lag150, twbs_lag90, twbs_lag0, twbs_lag180","ARIMAX(3,1,1)",3,1,1,-8159.846211810025,-8117.212229184109,1.5066844127718375,1.332487250425676
